"author","question"
"Customer Service Representative at Farmers Insurance Group was asked..."," What is your weakest quility."
"Data Scientist at CCRi was asked..."," Explain Python."
"Data Scientist at Zenefits was asked..."," Bayes' Formular: Marbles: There are 30 red marbles and 10 black marbles in Urn #1. You have 20 red and 20 Black marbles in Urn 2. Randomly you pull a marble from the random urn and find that it is red. What is the probability that it was pulled from Urn #1"
"Data Scientist at Zenefits was asked..."," Two random cards numbered from 1,2...100 are pulled from the deck. What is the probability that one number doubles the other from the deck. "
"Data Scientist at Zenefits was asked..."," Alice and Bob take turns in rolling a fair dice. Whoever gets ""6"" first wins the game. Alice starts the game. What are the chances that Alice wins. "
"Data Scientist at Facebook was asked..."," Write C++ code to copy a graph, once done whats the algorithmical complexity of this"
"Data Scientist at Fino Consulting was asked..."," Why is data important? (or something along those lines; I'd call this an unexpected question)"
"Data Scientist at Spotify was asked..."," given n samples from a uniform distribution [0, d], how to estimate d?"
"Data Scientist at Corcoran Group was asked..."," What are generators in python?"
"Retail Coverage Merchandiser at Acosta was asked..."," How my experience would help me in this capacity."
"Data Scientist at Swiss Re was asked..."," What machine learning project have you done? - PCA OK, let's talk about PCA. Tell me what it stands for? - SVD How is SVD defined? How do you calculate orthogonal vectors? etc.."
"Data Scientist at Tesla was asked..."," There are three questions in the interview. 1. Probability questions: There are 100 product and 25 of them is bad. What is the confident interval. 2. Maximum likelihood questions: solve exponential function and get the maximum likelihood estimator. 3. Use ""dplyr"" package in R to solve a case."
"Data Scientist at PURE Group of Insurance Companies was asked..."," I was asked questions about my presentation and Hiring Manager was supportive. They asked a lot of questions majorly on my resume but also asked some real time challenging questions based on their current requirement. I got disappointed when I asked a question to Senior Manager about the company and I got a very bad response. I asked about different projects which they are working on so that I could get a better understanding about Data Science use cases and the Senior manager did not give a professional reply and stated that 'This should not be your concern.' There were other questions as well where I felt that Senior Manager is being very rude to the interviewee. Apart from this all the other interviewers were very warm and kind."
"Data Scientist at Weather Analytics was asked..."," Tell us about projects you worked on."
"Data Scientist at OnDeck was asked..."," machine learning algorithm questions mostly on logistic regression."
"Data Scientist at ActionIQ was asked..."," Given a string, create a list of all possible anagrams."
"Data Scientist Interview at First Derivatives was asked..."," Willing to travel?"
"Data Scientist Interview at First Derivatives was asked..."," What skills do you have that will help you succeed at FD? "
"Data Scientist at Capital One was asked..."," implement a function to calculate matrix sum. calculate the probability of coin head"
"Data Scientist Interview at First Derivatives was asked..."," What your expectations from FD?"
"Data Scientist at Securonix was asked..."," How can you predict future from historical data?"
"Data Scientist at Jefferies was asked..."," How do you build a recommendation algo for securities?"
"Data Scientist Interview at First Derivatives was asked..."," What does FD do? News? Clients? Delta platform software ? Kdb+ Database? The Capital Market training programme? "
"Data Scientist Interview at First Derivatives was asked..."," Why FD? What is your motivation to apply to FD? "
"Software Engineer,, Software Engineer(Internshi), Data Scientist at Facebook was asked..."," They will ask you to design a very simple thing. Be prepared to innovate on the spot."
"Data Scientist Interview at First Derivatives was asked..."," Background: degree, GPA, .."
